2019-11-18 14:10:59.818 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:10:59.825 [main] DEBUG a01166101.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2019-11-18 14:11:00.997 [main] DEBUG a01166101.db.Database - Database connected
2019-11-18 14:11:01.471 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Customers
2019-11-18 14:11:01.485 [main] DEBUG a01166101.data.customer.CustomerDao - SELECT id FROM A01166101_Customers
2019-11-18 14:11:01.498 [main] DEBUG a01166101.data.customer.CustomerDao - Loaded 98 customer IDs from the database
2019-11-18 14:11:01.499 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.565 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Books
2019-11-18 14:11:01.571 [main] DEBUG a01166101.data.book.BookDao - SELECT id FROM A01166101_Books
2019-11-18 14:11:01.587 [main] DEBUG a01166101.data.book.BookDao - Loaded 499 book IDs from the database
2019-11-18 14:11:01.590 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.653 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Purchases
2019-11-18 14:11:32.904 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 15
2019-11-18 14:11:32.919 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 16
2019-11-18 14:11:32.930 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 17
2019-11-18 14:11:32.939 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 18
2019-11-18 14:11:32.947 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 19
2019-11-18 14:11:32.977 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 20
2019-11-18 14:11:32.988 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 21
2019-11-18 14:11:32.996 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 22
2019-11-18 14:11:33.005 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 23
2019-11-18 14:11:33.016 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 24
2019-11-18 14:11:33.025 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 25
2019-11-18 14:11:33.032 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 26
2019-11-18 14:11:33.039 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 27
2019-11-18 14:11:33.046 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 28
2019-11-18 14:11:33.054 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 29
2019-11-18 14:11:33.061 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 30
2019-11-18 14:11:33.069 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 31
2019-11-18 14:11:33.077 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 32
2019-11-18 14:11:33.085 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 33
2019-11-18 14:11:33.097 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 34
2019-11-18 14:11:33.117 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 35
2019-11-18 14:11:33.130 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 36
2019-11-18 14:11:33.141 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 37
2019-11-18 14:11:33.153 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 38
2019-11-18 14:11:33.164 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 39
2019-11-18 14:11:33.175 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 40
2019-11-18 14:11:33.188 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 41
2019-11-18 14:11:33.200 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 42
2019-11-18 14:11:33.254 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 43
2019-11-18 14:11:33.275 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 44
